ID,Type,Color,Image_Path,Caption
1,Dining Sets 19145,N/A,dining_sets_19145_image_1.jpg,"The image shows a black table with four green chairs arranged around it."
2,Dining Sets 19145,N/A,dining_sets_19145_image_2.jpg,"The image shows a wooden table and four chairs. The table is made of wood and the chairs are upholstered in a light-colored fabric. The chairs have a curved backrest and armrests."
3,Dining Sets 19145,N/A,dining_sets_19145_image_3.jpg,"The image shows a wooden dining table with six chairs surrounding it."
4,Dining Sets 19145,N/A,dining_sets_19145_image_4.jpg,"The image shows a white round table with four chairs surrounding it. The table has a glossy finish and the chairs have a curved backrest and armrests."
5,Dining Sets 19145,N/A,dining_sets_19145_image_5.jpg,"The image shows a white dining table with six chairs arranged around it. The table has a smooth, glossy finish and the chairs have a classic design with a curved backrest and armrests."
6,Dining Sets 19145,N/A,dining_sets_19145_image_6.jpg,"The image shows a white dining table with six chairs arranged around it. The table has a glossy finish and the chairs have a classic design with a curved backrest and armrests."
7,Dining Sets 19145,N/A,dining_sets_19145_image_7.jpg,"The image shows a wooden table with four chairs around it. The table has a rectangular shape with a smooth, glossy finish, and the chairs have a curved backrest and armrests."
8,Dining Sets 19145,N/A,dining_sets_19145_image_8.jpg,"The image shows a wooden table and two chairs. The table is made of wood and the chairs are metal, giving the set a modern and stylish look."
9,Dining Sets 19145,N/A,dining_sets_19145_image_9.jpg,"The image shows a white dining table with four chairs. The table has a glossy finish and the chairs have a classic design with a curved backrest and armrests."
10,Dining Sets 19145,N/A,dining_sets_19145_image_10.jpg,"The image shows a black 5-piece dining set, consisting of a table and four chairs."
